'Number of Parameters' 17
'Tracer' 0.0 0. 0.
'Tracer1' 0.0 0. 0.
'Tracer2' 0.0 0. 0.
'Tracer3' 0.0 0. 0.
'Tracer4' 0.0 0. 0.
'Tracer5' 0.0 0. 0.
'Tracer6' 0.0 0. 0.
'Tracer7' 0.0 0. 0.
'Tracer8' 0.0 0. 0.
'Tracer9' 0.0 0. 0.
'Tracer10' 0.0 0. 0.
'A(aq)' 0. 0. 0.
'B(aq)' 0. 0. 0.
'C(aq)' 0. 0. 0.
'D(aq)' 0. 0. 0.
'E(aq)' 0. 0. 0.
'A+' 0. 1. 0.
'B+' 0. 1. 0.
'C-' 0. -1. 0.
'null' 0 0 0
'Fe+++'  4  -0.5000  'H2O'  0.2500  'O2(g)'  1.0000  'Fe++'  1.0000  'H+'  3589.15985591  1012.61402787  643.367664293  4952.46718592  -28.5067054968  -67.5394986878  -5159.14490346  -0.268752890085  -0.652161022815  0.894249418469  3.56735778601  0.0148826588204  -0.00624450815593  -0.00884302790807  -0.0191623044295  0.00714403266698  0.0129036114782  9.0  3.0  55.8470
'HS-'  3  2.0000  'O2'  1.0000  'H+',  1.0000  'SO4--'  15265.4138592  4310.82849083  3208.90217527  21664.7848611  -125.462468106  -336.171185156  -22174.9916936  0.862365267576  1.91184522826  -2.69865048805  -10.6782534898  0.013812847355  -0.00581010296625  -0.00811851260308  0.053018918186  -0.0193996878426  -0.0360716788098  3.5  -1.0  33.0739
'SO3--'  2  -0.5000  'O2(g)'  1.0000  'SO4--'  3435.87878592  971.513035235  716.419897957  4819.52943629  -28.1100678544  -71.8164671795  -4972.97358494  -0.0532789516087  0.0830914443737  -0.0304227369397  -0.329481700036  0.00670719016462  -0.0027763933437  -0.00402711695147  0.0032100210806  -0.00117690995757  -0.00221580594453  4.5  -2.0  80.0642
'Al(OH)2+'  3  -2.0000  'H+'  1.0000  'Al+++'  2.0000  'H2O'  -8160.90942001  -2313.36899738  -1489.72815641  -11276.8630874  66.1383640941  153.877618274  11756.1491222  0.453790934055  0.973513405726  -1.39990452566  -5.4112572813  -0.0281374749098  0.0117622939518  0.0167593607959  0.0283066470008  -0.0105622468703  -0.0192678165676  4.0  1.0  60.9962
'AlO2-'  3  -4.0000  'H+'  1.0000  'Al+++'  2.0000  'H2O'  -18405.7477063  -5218.91292721  -3438.74571385  -25603.2855465  151.507652985  362.91046766  26574.7762668  0.0846690444383  -0.000555134108429  -0.0543227526669  -0.0682319809276  -0.0393938641103  0.0164439224059  0.0234571353193  3.39112302984e-05  -0.000308365844451  -0.000388035728605  4.0  -1.0  58.9803  'al(oh)4-'
'CO2(aq)'  3  -1.0000  'H2O'  1.0000  'H+'  1.0000  'HCO3-'  11109.9658675  3134.62154646  2214.26467284  15752.1313486  -91.0327176556  -244.46665921  -16129.903999  0.578098594737  1.27691528862  -1.80235281595  -7.12841131428  0.0118351879048  -0.00494713061187  -0.00701349484891  0.0354672043652  -0.0129287230223  -0.0242456881804  3.0  0.0  44.0098
'CO3--'  2  -1.0000  'H+'  1.0000  'HCO3-'  -8656.87510175  -2445.2458544  -1755.0953404  -12355.8885108  71.7367134702  195.594241456  12600.4781987  -0.816908582468  -1.71917966784  2.47695989611  9.64758862988  -0.000987189399812  0.000431766844246  0.000518008897311  -0.0479768559692  0.017556538326  0.0325020105711  4.5  -2.0  60.0092
'CaCO3(aq)'  3  -1.0000  'H+'  1.0000  'Ca++'  1.0000  'HCO3-'  7053.33610651  2042.53647849  1266.26068819  9626.74593964  -64.0951950149  -123.724801445  -10166.7560556  0.661115317927  1.91744081828  -2.60958165222  -10.3621839308  0.00114834699058  -0.000408291721513  -0.000715106189959  0.0578509280554  -0.0211045427339  -0.039077330003  3.0  0.0  100.0872
'CaCl+'  2  1.0000  'Ca++'  1.0000  'Cl-'  8682.7826276  2469.60751358  1683.38245377  12179.9276646  -73.8752102684  -181.05203489  -12580.1277456  0.686005716448  1.69971229864  -2.3696213187  -9.35107527697  0.0042743322188  -0.00177704751564  -0.00250436362338  0.0496919092884  -0.0181008043164  -0.0337326065411  4.0  1.0  75.5307
'CaCl2(aq)'  2  1.0000  'Ca++'  2.0000  'Cl-'  11023.6355297  3166.65349195  2095.60211797  15325.8810451  -97.7820331144  -225.908971286  -15961.6890654  0.844698996301  2.41204542611  -3.22344097757  -12.9655444169  0.00792066127538  -0.00336242226666  -0.00459633695006  0.0646376024296  -0.0240896057766  -0.043393731857  3.0  0.0  110.9834
'FeOH+'  2  1.0000  'OH-'  1.0000  'Fe++'  7421.25918792  2107.74244127  1481.19215201  10522.2663576  -63.0734877359  -162.82163088  -10789.0529326  0.681076141758  1.83016543158  -2.48496718147  -9.96496813127  -0.00136011531668  0.000629351996102  0.000787846657932  0.0545711541846  -0.0199162415317  -0.0370048555573  4.0  1.0  72.8543
'FeOH++'  2  1.0000  'OH-'  1.0000  'Fe+++'  3303.22789483  952.803635785  662.791513179  4696.71361825  -30.5055627884  -73.5700999796  -4826.73455249  0.699710115986  1.94685993606  -2.60778190795  -10.5403003893  -0.0103632707789  0.00439596243132  0.00614309596386  0.0586523832666  -0.021491787556  -0.0397201361124  4.5  2.0  72.8543
'Fe(OH)2+'  3  -1.0000  'H2O'  1.0000  'Fe+++'  2.0000  'OH-'  -961.396786755  -227.811861121  -225.171734307  -1377.43521652  0.934606093216  21.7490923465  1341.40480603  0.97834453608  2.90489605297  -3.74933227166  -15.5854883282  -0.0232305523289  0.00981208977746  0.0137704517461  0.0886780859356  -0.0325771029608  -0.0603475434295  4.0  1.0  89.8617
'H2S(aq)'  2  1.0000  'H+'  1.0000  'HS-'  11342.9429632  3209.73511982  2229.88648258  16011.0745957  -93.9776826518  -243.173187611  -16452.7971328  0.632629623753  1.4261964875  -2.02748307021  -7.95272949193  0.0104980519797  -0.00436670928285  -0.00623398079474  0.0401078400393  -0.0146069422247  -0.0271560182806  3.0  0.0  34.0819
'HSO3-'  2  1.0000  'H+'  1.0000  'SO3--'  9652.90954089  2722.24429533  1973.23819911  13805.8701039  -79.4564484635  -220.614182153  -14055.4180172  0.859194371208  1.80122335558  -2.6050163226  -10.1147456395  0.00146327823187  -0.000637173244646  -0.000784890159824  0.0501804918403  -0.0183599431821  -0.0341148848093  4.0  -1.0  81.0721
'KCl(aq)'  2  1.0000  'K+'  1.0000  'Cl-'  10459.3402681  2976.002103  2013.0797829  14642.7161426  -88.4192135224  -212.396307503  -15145.8689604  0.714000451785  1.54848370585  -2.23999905998  -8.67582530926  0.00961195782101  -0.00403642372894  -0.00565363998578  0.0437289341145  -0.0158717376154  -0.029947324446  3.0  0.0  74.5510
'MgCO3(aq)'  3  -1.0000  'H+'  1.0000  'HCO3-'  1.0000  'Mg++'  5742.17417814  1660.11198683  1065.37146101  7923.69627094  -52.3479739156  -106.722111923  -8300.79135039  0.727508838833  2.0435302038  -2.80058942639  -11.0676153887  -0.00371841068371  0.00162102768453  0.0021884863787  0.0614692775225  -0.0224698181495  -0.0414844390926  3.0  0.0  84.3142
'MgHCO3+'  2  1.0000  'HCO3-'  1.0000  'Mg++'  7974.64769098  2247.87303815  1642.91689723  11430.6667029  -65.8497144073  -185.336834754  -11615.2785815  0.657198201616  1.67817449909  -2.31753245644  -9.19164575173  0.0018541800703  -0.00074324988196  -0.00109947883131  0.0494267452826  -0.0180382392662  -0.033777831928  4.0  1.0  85.3221
'MgCl+'  2  1.0000  'Cl-'  1.0000  'Mg++'  9770.5194854  2757.35191843  1975.38227376  13913.4755674  -80.7383809471  -219.753768164  -14202.6679744  0.736571351506  1.73171083187  -2.45381930165  -9.58680906422  0.00339294697613  -0.00139189816419  -0.00200368802242  0.0500324293036  -0.0182259361935  -0.0339779450609  4.0  1.0  59.7577
'MgOH+'  2  1.0  'Mg++'  1.0  'OH-'  8660.43332584  2445.65509283  1771.33247677  12382.80644  -71.9016593057  -197.986911419  -12609.7456909  0.717090591392  1.83428616161  -2.49241234109  -10.0444008601  -6.26970405192e-06  5.21394098283e-05  -1.38607249427e-05  0.0540520735573  -0.0197317380585  -0.0368397085501  4.0  1.0  41.3123  'pcl'
'NaAlO2(aq)'  4  -4.0000  'H+'  1.0000  'Al+++'  1.0000  'Na+'  2.0000  'H2O'  -8746.66092638  -2469.92766255  -1560.04190457  -12038.076763  69.4299338919  161.795013065  12572.1002927  0.66780779205  1.72345196993  -2.33619620751  -9.37489253779  -0.034110065374  0.0142857432749  0.0203075607312  0.0517826388067  -0.0191976971646  -0.0352783384599  3.0  0.0  81.9701
'NaCl(aq)'  2  1.0000  'Cl-'  1.0000  'Na+'  10684.7375918  3033.86257476  2081.86743882  15023.5516374  -89.7430778833  -222.781009455  -15487.0779634  0.675719891379  1.59168419658  -2.24868889643  -8.82145588826  0.00896983095369  -0.00373972800808  -0.00530538143005  0.0458550466041  -0.0166633257808  -0.0312308604503  3.0  0.0  58.4425
'NaHSiO3(aq)'  4  -1.0000  'H+'  1.0000  'Na+'  1.0000  'SiO2(aq)'  1.0000  'H2O'  7719.25780574  2092.52151559  1938.34371613  11937.32447  -53.8082511805  -244.933728175  -11442.9431489  0.344783400015  0.462141830421  -0.838484616251  -2.8122619894  0.000998352455967  -0.000445029317986  -0.000549339618305  0.0116525493442  -0.00415627192317  -0.00816951358997  3.0  0.0  100.0814
'NaOH(aq)'  2  1.0000  'OH-'  1.0000  'Na+'  8591.11763984  2453.78698254  1646.57260181  12006.5217834  -73.9477645944  -173.835812828  -12443.4492993  0.578495446331  1.6502173837  -2.20400058574  -8.94158888021  0.00518763724964  -0.00211112528432  -0.00311169263323  0.0496545143437  -0.0180743737681  -0.0336807770067  3.0  0.0  39.9971
'OH-'  2  -1.0000  'H+'  1.0000  'H2O'  -8308.59896123  -2363.81573505  -1603.27267378  -11667.601419  70.4757640405  173.777918243  12046.3307532  -0.527519671262  -1.44289890907  1.92213855318  7.84263468539  -0.00640368233632  0.00264235481302  0.00381509035113  -0.0428118024726  0.0155885589809  0.0291106619672  3.5  -1.0  17.0073
'SO2(aq)'  3  -1.0000  'H2O'  1.0000  'SO3--'  2.0000  'H+'  22788.9272966  6439.7544912  4555.52138222  32329.9069262  -188.077256236  -500.378501054  -33104.468371  1.53933416094  3.24064036056  -4.67737153026  -18.2038127704  0.0172416875277  -0.0072412693726  -0.0101272177825  0.0896775217616  -0.0327265363935  -0.0608903820255  3.0  0.0  64.0648
'null' 1 0. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 
'H2S(g)' 0.0000 2 1.0000 'H+' 1.0000 'HS-' -19.0957   57.4695  -39.0779 -184.5604   -7.3750  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 34.0819
'CO2(g)' 0.0000 3 -1.0000 'H2O' 1.0000 'H+' 1.0000 'HCO3-' -18.7604   52.0062  -34.1928 -170.1727   -6.7305 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  44.0098
'N2(g)' 0.0000 3 -3.0000 'H2O' 1.5000 'O2(g)' 2.0000 'NH3(aq)' -126.4441 -115.2999 -102.5336 -90.9048 -79.4906 -70.5141 -63.2723 -57.3044 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 28.0135
'NO(g)' 0.0000 4 -0.5000 'H2O' -0.2500 'O2(g)' 1.0000 'H+' 1.0000 'NO2-' 42.2959   28.9387  -63.5653 -188.9569   -7.0746  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 30.0061
'NO2(g)' 0.0000 4 -0.5000 'H2O' -0.2500 'O2(g)' 1.0000 'H+' 1.0000 'NO3-'  130.6959  -15.0518 -100.3746 -176.4076   -6.6765  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 46.0055
'O2(aq)*' 1 1.0000 'O2(g)' 2.6567 2.8983 3.0633 3.1076 3.0354 2.8742 2.6488 2.3537 3.0 0.0 31.9988 3.0 0.0 31.9988
'SO2(g)' 0.0000 4 -1.0000 'H2O' -0.5000 'O2(g)' 1.0000 'SO4--' 2.0000 'H+' -40.0388  126.6943  -29.2236 -423.9839  -16.0062 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 64.0648
'null' 0. 1 1. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 
'Akermanite'  92.8100  5  -6.0000  'H+'  1.0000  'Mg++'  2.0000  'Ca++'  2.0000  'SiO2(aq)'  3.0000  'H2O'  8060.63424868  2113.78172704  2512.6447033  13559.4843187  -50.7663552014  -341.147644831  -12245.3097879  1.24265536414  2.68308066175  -3.80080738534  -14.9873213749  -0.0265510328673  0.0111124552262  0.0158411058745  0.0791147402958  -0.0287922961599  -0.0547569136593  272.6278
'Albite'  100.2500  5  -4.0000  'H+'  1.0000  'Al+++'  1.0000  'Na+'  2.0000  'H2O'  3.0000  'SiO2(aq)'  13127.9945375  3418.22640021  3979.69467937  22016.2192665  -78.5003178719  -550.050052609  -19893.9951444  1.42614940639  2.39943184811  -3.71541391018  -13.9018771825  -0.0525556284786  0.0221476990651  0.0310806430106  0.0628854521264  -0.0230757010042  -0.0433688609455  262.2230
'Albite_low'  100.0700  5  -4.0000  'H+'  1.0000  'Al+++'  1.0000  'Na+'  2.0000  'H2O'  3.0000  'SiO2(aq)'  12122.5102829  3145.00138815  3744.80354293  20497.2990352  -71.3580924296  -522.221438981  -18415.3655388  1.30737931337  2.3008998301  -3.49641463194  -13.2208384305  -0.0304026831006  0.0126688517293  0.0181847721134  0.0644950339673  -0.0234723838917  -0.0447146232222  262.2230
'Alunite'  293.6000  5  -6.0000  'H+'  1.0000  'K+'  2.0000  'SO4--'  3.0000  'Al+++'  6.0000  'H2O'  8809.13992082  2557.48195067  1910.74588835  12777.5058395  -87.3981261316  -213.39550875  -12975.5752277  3.67186869613  9.59323214619  -12.6948315991  -52.3404575172  -0.0602607434812  0.0254320320555  0.0357989866937  0.287200681407  -0.105189351846  -0.195997991277  414.2142
'Amesite-7A'  205.4000  5  -20.0000  'H+'  2.0000  'SiO2(aq)'  4.0000  'Al+++'  4.0000  'Mg++'  7.0000  'H2O'  -18629.1473732  -5338.66866643  -2117.43119501  -24579.9628641  155.382751058  266.811011738  26501.3218349  1.92862554801  4.58168704984  -6.32672899944  -25.2008607401  -0.0899093239483  0.0376581066481  0.053507605695  0.137959335752  -0.0507893527341  -0.0947763228453  557.3699
'Analcime'  96.800  5  -4  'H+'  1.0  'Al+++'  1.0  'Na+'  2.0  'SiO2(aq)'  3.0  'H2O'  4489.0355285  1082.71728069  1839.93458446  8697.77539647  -18.8996947883  -278.89877251  -7105.70493178  1.04928742748  2.02738998538  -2.97065714259  -11.4871881622  -0.0324773241045  0.013553882784  0.0193937439664  0.0587138717974  -0.0214198760128  -0.0406245583392  219.2786
'Analcime-dehy'  89.1000  5  -4.0000  'H+'  1.0000  'Al+++'  1.0000  'Na+'  2.0000  'H2O'  2.0000  'SiO2(aq)'  4444.89642858  1074.00511724  1824.67480673  8601.78182759  -18.9775907979  -276.075956898  -7035.1526999  1.05008318817  2.06009603257  -2.98517969972  -11.6337315712  -0.0313722977566  0.0131004046414  0.0187270277246  0.0595794288996  -0.0217607953686  -0.0412344870144  201.2633
'Andalusite'  51.5300  4  -6.0000  'H+'  1.0000  'SiO2(aq)'  2.0000  'Al+++'  3.0000  'H2O'  -10945.7421245  -3179.92954782  -1513.484533  -13941.0961297  95.4889032843  116.550659199  15445.1644528  1.34489812207  3.0091521702  -4.21855545702  -16.6500696624  -0.0598128767127  0.0250146604918  0.0356437923527  0.0890748789093  -0.0328546294475  -0.0611943232412  162.0456
'Annite'  154.3200  6  -10.0000  'H+'  1.0000  'Al+++'  1.0000  'K+'  3.0000  'Fe++'  3.0000  'SiO2(aq)'  6.0000  'H2O'  -28614.8052516  -8254.44679447  -4288.42939047  -37250.9867669  246.674712433  346.81386698  40597.6725063  1.59874575741  3.38682468073  -4.80183627432  -18.81745286  -0.036387322835  0.0150354196734  0.0219050497824  0.0890341658783  -0.0331469401504  -0.0616863855396  511.8860
'Anorthite'  100.7900  5  -8.0000  'H+'  1.0000  'Ca++'  2.0000  'Al+++'  2.0000  'SiO2(aq)'  4.0000  'H2O'  -23946.1049064  -6923.27060092  -3614.15030212  -31218.5795963  207.971969116  302.718564101  34004.1470776  1.26015976904  2.80633400945  -3.87575832259  -15.4245315094  -0.0113506396009  0.00451859558972  0.00706362219655  0.0703436718087  -0.0265791432277  -0.0483074766526  278.2073
'Artinite'  96.9000  4  -3.0000  'H+'  1.0000  'HCO3-'  2.0000  'Mg++'  2160.48146629  632.846787196  495.994940383  3164.95982324  -22.2375412248  -51.8303100674  -3193.4371107  1.01150008744  2.69972808933  -3.6520314854  -14.739712219  -0.0195304062416  0.00826530071515  0.0115603480798  0.0825442610996  -0.0300797165023  -0.0564894379063  196.6797
'Ca-Al_Pyroxene'  63.5000  5  -8.0000  'H+'  1.0000  'Ca++'  1.0000  'SiO2(aq)'  2.0000  'Al+++'  4.0000  'H2O'  -24776.414477  -7144.52620404  -3146.85115167  -32015.6359776  210.036518888  297.257737392  35053.6667542  3.15194032797  7.55225205947  -10.3656798619  -41.4170955371  -0.134413886905  0.0562802447684  0.0800268143809  0.225920768184  -0.0832657793282  -0.155430396898  218.1230
'Calcite'  36.9340  3  -1.0000  'H+'  1.0000  'Ca++'  1.0000  'HCO3-'  7615.5168887  2182.37049551  1438.13820468  10579.4780871  -66.8077907165  -149.272779863  -11017.6615679  0.662307089769  1.89587681321  -2.49178730794  -10.2616782849  0.00388016047129  -0.00156902891689  -0.00232239248442  0.0574932691171  -0.0209059675195  -0.0393923864404  100.0872
'Clinochlore-14A'  207.1100  5  -16.0000  'H+'  2.0000  'Al+++'  3.0000  'SiO2(aq)'  5.0000  'Mg++'  12.0000  'H2O'  -65740.0850461  -18835.8932145  -10982.5900379  -88230.6614221  556.268969957  1037.93017979  94041.3212139  1.68434615694  4.20273921157  -5.6317612616  -22.6882525187  -0.0174902278928  0.00689525394175  0.0109407119284  0.100527056755  -0.038444396235  -0.069305335932  555.7973
'Clinochlore-7A'  211.5000  5  -16.0000  'H+'  2.0000  'Al+++'  3.0000  'SiO2(aq)'  5.0000  'Mg++'  12.0000  'H2O'  -23230.9360245  -6980.12856579  -2333.01043208  -27371.4647022  226.55818053  93.1452797518  32304.8565034  1.91435317509  4.81379041368  -6.46182415023  -26.035748675  0.0647016918327  -0.0279453908012  -0.0373323208572  0.123369661561  -0.0469146533404  -0.0843713479165  555.7973
'Corundum'  25.5750  3  -6.0000  'H+'  2.0000  'Al+++'  3.0000  'H2O'  -18758.7168333  -5287.55360071  -3471.53067917  -26044.7552239  148.8194854  366.713893418  27025.8243021  1.09489640472  2.77369441381  -3.74876146644  -15.1011464651  -0.0625198651087  0.0261910790972  0.0371919820589  0.0841607835981  -0.0311478993719  -0.0577120461944  101.9613
'Dawsonite'  58.5366  5  -3.0000  'H+'  1.0000  'Al+++'  1.0000  'HCO3-'  1.0000  'Na+'  2.0000  'H2O'  284.794443995  108.130147183  106.748262024  486.758574707  -7.49610117961  -12.2536330265  -474.122708716  0.981477397426  2.72802543652  -3.61479627965  -14.7814296088  -0.0198158557224  0.0083663375998  0.0117535603546  0.0833720836348  -0.0304750523788  -0.0572025102081  143.9952
'Dolomite'  64.3650  4  -2.0000  'H+'  1.0000  'Ca++'  1.0000  'Mg++'  2.0000  'HCO3-'  8014.94487874  2334.46892596  1481.51887825  11010.4308519  -75.4586299512  -152.309939566  -11599.6706519  0.699053905323  2.7634457962  -3.34595047835  -14.4009792243  0.00808639951587  -0.00337422211304  -0.00477387135249  0.0797663643595  -0.0296375993516  -0.0542084334983  184.4014
'Dolomite-dis'  64.3900  4  -2.0000  'H+'  1.0000  'Ca++'  1.0000  'Mg++'  2.0000  'HCO3-'  7904.6453472  2305.23985994  1455.56273762  10837.9335385  -74.7356495124  -148.760019053  -11436.7166734  0.700274144698  2.76354827698  -3.34732369406  -14.4032810164  0.00733177586304  -0.00306577859093  -0.00431463210445  0.0796663897376  -0.0296084293956  -0.0541278083308  184.4014
'Dolomite-ord'  64.3400  4  -2.0000  'H+'  1.0000  'Ca++'  1.0000  'Mg++'  2.0000  'HCO3-'  7690.54541778  2247.23005887  1403.81010385  10514.9927554  -73.259603792  -142.983227828  -11121.8473831  0.697907273381  2.76092172396  -3.34243782866  -14.3861303764  0.00780548795079  -0.00324932319749  -0.00461953962827  0.0796100359921  -0.029594289177  -0.0540782850298  184.4014
'Enstatite'  31.2760  4  -2.0000  'H+'  1.0000  'H2O'  1.0000  'Mg++'  1.0000  'SiO2(aq)'  4120.70389774  1072.72193126  1288.85907073  6977.71982293  -24.8298325924  -177.515695955  -6267.34864634  0.54512978199  1.0588930817  -1.56903467531  -5.99668953241  -0.0137203776843  0.00574546687628  0.00817293008387  0.0304600009284  -0.0110974806475  -0.0210534605253  100.3887
'Epidote'  139.2000  6  -13.0000  'H+'  1.0000  'Fe+++'  2.0000  'Al+++'  2.0000  'Ca++'  3.0000  'SiO2(aq)'  7.0000  'H2O'  -25536.6567167  -7572.36642958  -3053.60378132  -31364.9389358  239.919454151  185.400589135  35829.7551627  1.56428308523  3.6452214107  -4.98708097704  -19.8374947918  -0.0125199260559  0.00504637864382  0.00767483922469  0.0806115343212  -0.0309632203981  -0.0558276324545  483.2227
'Epidote-ord'  139.2000  6  -13.0000  'H+'  1.0000  'Fe+++'  2.0000  'Al+++'  2.0000  'Ca++'  3.0000  'SiO2(aq)'  7.0000  'H2O'  -34849.6367149  -10139.0629021  -5024.30700846  -44910.1329946  308.827858591  405.608402004  49391.0408054  1.65961269843  3.87596884479  -5.3118530392  -21.1200878851  -0.0213296597445  0.00873790319592  0.0129169737348  0.0891631886252  -0.0340628229322  -0.061589588648  483.2227
'Halite'  27.0150  2  1.0000  'Cl-'  1.0000  'Na+'  5818.13514265  1677.22330547  1076.92785436  8017.48496521  -51.9130414863  -112.761062244  -8406.0848353  0.243260956101  1.01634061023  -1.23447146523  -5.28758900012  0.0055557819756  -0.00230388445085  -0.00331415428415  0.0294739560535  -0.0108797745632  -0.0198822410599  58.4425
'Hematite'  30.2740  3  -6.0000  'H+'  2.0000  'Fe+++'  3.0000  'H2O'  -15708.0746834  -4416.74992912  -2940.66245418  -21852.2538714  123.258733628  311.339050073  22633.1350858  0.980130689016  2.64607729126  -3.52354184207  -14.3175065423  -0.0548189192177  0.0229891179603  0.0325915186383  0.0812258213256  -0.0300044930668  -0.0555520571903  159.6922
'Kaolinite'  99.5200  4  -6.0000  'H+'  2.0000  'Al+++'  2.0000  'SiO2(aq)'  5.0000  'H2O'  -6704.56870055  -2078.7152593  -262.855127203  -6877.39913201  70.8178867237  -57.259468681  9041.70164454  1.59634311237  3.22291197479  -4.69462063608  -18.1079642161  -0.0688647208883  0.0287757583861  0.041062111166  0.0936614794977  -0.0344650758502  -0.0643199886814  258.1604
'K-Feldspar'  108.8700  5  -4.0000  'H+'  1.0000  'Al+++'  1.0000  'K+'  2.0000  'H2O'  3.0000  'SiO2(aq)'  11909.5908089  3083.17932232  3683.00855453  20163.0297228  -69.5392246036  -514.777929952  -18091.5859531  1.31039912643  2.22917917285  -3.431226467  -12.8801653891  -0.0290522222087  0.0120811995363  0.0174155804935  0.0618918993478  -0.0225040114576  -0.0429503135468  278.3315
'Larnite'  51.6000  4  -4.0000  'H+'  1.0000  'SiO2(aq)'  2.0000  'Ca++'  2.0000  'H2O'  4087.88677146  1081.19206098  1678.93885265  6798.01836629  -26.9957700649  -167.043046269  -6192.40222752  0.69543428079  1.62528361526  -2.24973433894  -8.99205706974  -0.0149442528186  0.00628619986644  0.00887657389881  0.048920600318  -0.0177906559572  -0.0338826664706  172.2391
