#PV	Ca E1 (M)	PV	Mg E1 (M)	PV	Na E1 (M)
57.7	8.73E-05	69.5	9.63E-03	71.8	4.73E-03
61.3	5.61E-05	70.4	9.86E-03	72.0	4.66E-03
64.9	4.36E-05	70.7	9.70E-03	72.3	4.64E-03
65.0	0.00E+00	70.9	9.95E-03	72.5	4.64E-03
65.9	0.00E+00	71.1	9.50E-03	72.7	4.64E-03
66.8	0.00E+00	71.4	9.70E-03	72.9	4.59E-03
67.7	0.00E+00	71.6	9.85E-03	73.2	4.62E-03
68.6	0.00E+00	71.8	9.64E-03	73.4	4.64E-03
69.5	0.00E+00	72.0	7.95E-03	73.6	4.67E-03
70.0	0.00E+00	72.3	6.34E-03	73.9	4.87E-03
70.4	0.00E+00	72.5	5.31E-03	74.1	4.64E-03
70.7	0.00E+00	72.7	5.02E-03	74.3	4.59E-03
70.9	0.00E+00	72.9	4.75E-03	74.5	4.38E-03
71.1	0.00E+00	73.2	4.79E-03	75.0	4.57E-03
71.4	0.00E+00	73.4	4.71E-03	75.2	4.62E-03
71.6	0.00E+00	73.6	4.72E-03	75.4	4.57E-03
71.8	3.14E-04	73.9	4.67E-03	75.7	4.60E-03
72.0	1.89E-03	74.1	4.67E-03	75.9	4.42E-03
72.3	3.54E-03	74.3	4.56E-03	76.8	4.59E-03
72.5	4.47E-03	74.5	4.43E-03	77.7	4.66E-03
72.7	4.88E-03	75.0	4.67E-03	79.0	4.57E-03
72.9	4.92E-03	75.2	4.65E-03	82.6	4.57E-03
73.2	5.04E-03	75.4	4.62E-03		
73.4	5.05E-03	75.7	4.66E-03		
73.6	4.99E-03	75.9	4.46E-03		
73.9	5.13E-03	76.8	4.62E-03		
74.1	5.15E-03	77.7	4.73E-03		
74.3	5.11E-03	79.0	4.62E-03		
74.5	5.16E-03	82.6	4.54E-03		
74.8	5.15E-03				
75.0	5.10E-03				
75.2	5.11E-03				
75.4	5.10E-03				
75.7	5.01E-03				
75.9	5.17E-03				
76.8	5.10E-03				
77.7	5.26E-03				
79.0	5.05E-03				
82.6	5.02E-03				
